gene_id,mean_disease,mean_control,log2FC,pvalue,padj,gene_name,biotype
ENSG00000244560,3.6789833516035477,4.542149322096432,-0.8631659704928847,6.4543914521930645e-06,0.00033631574486428143,,transcribed_unprocessed_pseudogene
ENSG00000235437,4.940989201607642,5.661968664323554,-0.7209794627159125,6.451895275150221e-06,0.00033631574486428143,LINC01278,lncRNA
ENSG00000285651,2.2287435115119476,2.867494574975636,-0.6387510634636886,6.498399998777771e-06,0.00033631574486428143,,lncRNA
ENSG00000261696,0.7168777850573109,1.2434592903097543,-0.5265815052524434,6.761997735305059e-06,0.00034744020018380385,,lncRNA
ENSG00000229976,0.5648220517545897,1.0775854108410288,-0.5127633590864391,7.0743601516820576e-06,0.0003608934300236661,,lncRNA
ENSG00000203761,1.665881628985684,2.5870286333747448,-0.9211470043890608,7.171486616996958e-06,0.0003632535987134204,MSTO2P,unprocessed_pseudogene
ENSG00000286282,0.8979566159875765,1.7481943941287006,-0.8502377781411241,7.30139906957028e-06,0.000367229522217401,,lncRNA
ENSG00000259345,3.7235823218856288,4.533137569883208,-0.8095552479975794,7.434811506001893e-06,0.00036874599844351056,,lncRNA
ENSG00000233723,3.310069781246623,4.1860357023723145,-0.8759659211256916,7.391821049695935e-06,0.00036874599844351056,LINC01122,lncRNA
ENSG00000225623,0.5438442838398965,1.1041562035372527,-0.5603119196973563,7.513588466512289e-06,0.00037008309536435015,AGBL4-IT1,lncRNA
ENSG00000233098,3.1590469909638625,4.0269622486334065,-0.8679152576695439,7.588010125125777e-06,0.0003711888240660842,CCDC144NL-AS1,lncRNA
ENSG00000254757,1.3300971739905267,1.8502348214085147,-0.520137647417988,7.640056970847908e-06,0.000371192427794529,,lncRNA
ENSG00000283236,2.4860484841406962,3.1568460806088163,-0.6707975964681201,7.708887354906935e-06,0.00037200590195098196,,transcribed_unprocessed_pseudogene
ENSG00000254303,1.5814131415284425,2.2955641236996147,-0.7141509821711722,7.899365643160294e-06,0.00037362430081755514,,lncRNA
ENSG00000262096,2.3997563860739413,3.111255652309794,-0.7114992662358528,7.820715570483472e-06,0.00037362430081755514,PCDHB19P,transcribed_unprocessed_pseudogene
ENSG00000282692,1.3690715339836426,2.057740169965815,-0.6886686359821725,7.847896613455418e-06,0.00037362430081755514,,lncRNA
ENSG00000285578,0.6059430532759179,2.238879391734518,-1.6329363384586002,7.959788163036663e-06,0.00037400530960794633,,lncRNA
ENSG00000245768,1.8116697438925506,2.425437464148863,-0.6137677202563123,8.154151186046121e-06,0.00038063364556040126,,lncRNA
ENSG00000276517,2.869184227318686,3.514066905921547,-0.644882678602861,8.290928456444746e-06,0.00038450526646706737,,lncRNA
ENSG00000254783,1.3289144641931934,1.9079784051732311,-0.5790639409800378,8.68014249344462e-06,0.0003972332487951353,,processed_pseudogene
ENSG00000223770,3.0716549365600816,3.737948335623742,-0.6662933990636604,8.732234676678274e-06,0.0003972332487951353,CACNA2D1-AS1,lncRNA
ENSG00000235716,0.5328948411582182,1.0933402521190243,-0.5604454109608061,8.643435501998198e-06,0.0003972332487951353,KRT18P46,processed_pseudogene
ENSG00000238105,3.5211031511525723,4.323608101780859,-0.8025049506282871,8.890880904166565e-06,0.00040189032542757976,GOLGA2P5,transcribed_unprocessed_pseudogene
ENSG00000185495,2.6849602907432066,3.5322802825151314,-0.8473199917719247,9.048164729907882e-06,0.000406427625792466,SEPTIN7P13,transcribed_unprocessed_pseudogene
ENSG00000264007,0.9540214006727624,1.674688327895796,-0.7206669272230336,9.234987640382997e-06,0.00041063442249863373,,lncRNA
ENSG00000259946,1.4518061779120652,2.211444323590489,-0.7596381456784236,9.314306419039298e-06,0.00041063442249863373,,lncRNA
ENSG00000266885,0.9555471356995071,1.5381360127139005,-0.5825888770143934,9.30412633382005e-06,0.00041063442249863373,,transcribed_processed_pseudogene
ENSG00000238035,1.6110290784897967,2.220156302391957,-0.6091272239021603,9.455380265199764e-06,0.0004142964776322498,,lncRNA
ENSG00000267651,1.0757903622287943,1.9228748301895184,-0.8470844679607241,9.58661462813204e-06,0.00041748537606170136,,lncRNA
ENSG00000233416,0.6282829322399243,1.2486023857508555,-0.6203194535109312,9.719874911606752e-06,0.0004207233128405783,RPS25P3,processed_pseudogene
ENSG00000287667,2.453116077037071,3.1930284490652783,-0.7399123720282073,9.882218125811804e-06,0.0004251735051478789,,lncRNA
ENSG00000240809,1.3946295291789235,2.267214013337311,-0.8725844841583874,1.0161675881859011e-05,0.0004294653208186371,CAP1P1,processed_pseudogene
ENSG00000249212,1.3980310003983663,2.0909982195343932,-0.692967219136027,1.0222501335643841e-05,0.0004294653208186371,ATP1B1P1,unprocessed_pseudogene
ENSG00000268416,3.17281916124596,4.073177356889794,-0.9003581956438342,1.0165628418379313e-05,0.0004294653208186371,,lncRNA
ENSG00000287380,3.9004509464907073,4.745871217996902,-0.8454202715061943,1.011909454184945e-05,0.0004294653208186371,,lncRNA
ENSG00000245526,5.609159780281989,6.189893732441384,-0.5807339521593944,1.0554657966288516e-05,0.00043826376276298015,LINC00461,lncRNA
ENSG00000234841,2.1460380872113527,2.985230270662421,-0.8391921834510683,1.0498584481100082e-05,0.00043826376276298015,,processed_pseudogene
ENSG00000285940,3.1518915344935956,3.977614870855213,-0.8257233363616172,1.0747831274526831e-05,0.00044370526568017704,,lncRNA
ENSG00000224078,10.934820067651902,11.724382195616638,-0.7895621279647358,1.090592402031021e-05,0.00044508633916031726,SNHG14,lncRNA
ENSG00000272054,3.7774534071946144,4.543984243524572,-0.7665308363299577,1.0864174798230763e-05,0.00044508633916031726,,lncRNA
ENSG00000287519,1.0746058873935336,1.6354307489879143,-0.5608248615943807,1.1113855985955823e-05,0.0004459278620881825,,lncRNA
ENSG00000237737,2.212641139248769,3.1244163260768203,-0.9117751868280513,1.1003454908564692e-05,0.0004459278620881825,DCTN1-AS1,lncRNA
ENSG00000233820,2.201385008691346,3.110330268440933,-0.9089452597495868,1.1062741662737352e-05,0.0004459278620881825,,transcribed_processed_pseudogene
ENSG00000256667,1.2446480730381713,2.006677814233651,-0.7620297411954797,1.131192831449468e-05,0.00045133962023531285,KLRA1P,transcribed_unprocessed_pseudogene
ENSG00000249937,2.032678926356534,2.850391309478332,-0.8177123831217981,1.1470818643832814e-05,0.00045513659307918865,LINC02223,lncRNA
ENSG00000286109,0.7654831181391029,1.2678587159394532,-0.5023755978003503,1.1579809380046768e-05,0.0004569226441563206,,lncRNA
ENSG00000260306,0.8570789668048611,1.581074132011422,-0.723995165206561,1.2032761725011554e-05,0.0004624860354802209,,lncRNA
ENSG00000282989,1.233145091829398,1.9339393814476369,-0.7007942896182389,1.1926689559960124e-05,0.0004624860354802209,PDCL3P2,processed_pseudogene
ENSG00000224066,1.1175609678203824,1.733216810069783,-0.6156558422494005,1.2109337529375708e-05,0.0004624860354802209,,lncRNA
ENSG00000263485,1.4674834845958755,2.1599183180569343,-0.6924348334610588,1.2085587260290964e-05,0.0004624860354802209,,lncRNA
ENSG00000251141,3.405910630461714,4.258807278543415,-0.8528966480817011,1.1967085110198283e-05,0.0004624860354802209,MRPS30-DT,lncRNA
ENSG00000254319,1.477621903985014,2.08683120497992,-0.6092093009949058,1.1888517499336615e-05,0.0004624860354802209,LINC03021,lncRNA
ENSG00000229989,2.864275171204026,3.58083602532948,-0.7165608541254538,1.217445890322466e-05,0.00046249992280229004,MIR181A1HG,lncRNA
ENSG00000227733,5.111369496423943,5.9924686522445665,-0.8810991558206238,1.2320719483316367e-05,0.00046487134075894797,,lncRNA
ENSG00000230102,1.0637353781020396,1.6318521079332475,-0.568116729831208,1.2367061711593408e-05,0.00046487134075894797,LINC02028,lncRNA
ENSG00000261824,5.881317540089919,6.397796956528343,-0.5164794164384245,1.2488176912572868e-05,0.0004669662801549499,LINC00662,lncRNA
ENSG00000253819,2.911551234224828,3.635622276690014,-0.7240710424651859,1.2697243558790205e-05,0.00046945786456869686,LINC01151,lncRNA
ENSG00000276291,4.108671619920736,4.809109829882297,-0.7004382099615611,1.2687393158516969e-05,0.00046945786456869686,FRG1HP,transcribed_unprocessed_pseudogene
